"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","Nivel","Operands"
"76213","Ingresos de créditos a corto plazo. otras empresas","Ingresos de créditos a corto plazo. otras empresas","Revenue","C","No","No",,"7621B","S",
"762000","Ingresos de créditos a largo plazo. empresas del grupo","Ingresos de créditos a largo plazo. empresas del grupo","Revenue","C","No","No",,"7620A","S",
"762010","Ingresos de créditos a largo plazo. empresas asociadas","Ingresos de créditos a largo plazo. empresas asociadas","Revenue","C","No","No",,"7620A","S",
"762100","Ingresos de créditos a corto plazo. empresas del grupo","Ingresos de créditos a corto plazo. empresas del grupo","Revenue","C","No","No",,"7621A","S",
"762110","Ingresos de créditos a corto plazo. empresas asociadas","Ingresos de créditos a corto plazo. empresas asociadas","Revenue","C","No","No",,"7621A","S",
"76120","Ingresos de valores representativos de deuda. otras partes vinculadas","Ingresos de valores representativos de deuda. otras partes vinculadas","Revenue","C","No","No",,"7612","S",
"76130","Ingresos de valores representativos de deuda. otras empresas","Ingresos de valores representativos de deuda. otras empresas","Revenue","C","No","No",,"7613","S",
"762020","Ingresos de créditos a largo plazo. otras partes vinculadas","Ingresos de créditos a largo plazo. otras partes vinculadas","Revenue","C","No","No",,"7620B","S",
"762030","Ingresos de créditos a largo plazo. otras empresas","Ingresos de créditos a largo plazo. otras empresas","Revenue","C","No","No",,"7620B","S",
"762120","Ingresos de créditos a corto plazo. otras partes vinculadas","Ingresos de créditos a corto plazo. otras partes vinculadas","Revenue","C","No","No",,"7621B","S",
"762130","Ingresos de créditos a corto plazo. otras empresas","Ingresos de créditos a corto plazo. otras empresas","Revenue","C","No","No",,"7621B","S",
"76700","Ingresos de activos afectos y de derechos de reembolso relativos a retribuciones a largo plazo","Ingresos de activos afectos y de derechos de reembolso relativos a retribuciones a largo plazo","Revenue","C","No","No",,"7670","S",
"76900","Otros ingresos financieros","Otros ingresos financieros","Revenue","C","No","No",,"7690","S",
"66100","Intereses de obligaciones y bonos a largo plazo. empresas del grupo","Intereses de obligaciones y bonos a largo plazo. empresas del grupo","Expense","C","No","No",,"6610","S",
"66110","Intereses de obligaciones y bonos a largo plazo. empresas asociadas","Intereses de obligaciones y bonos a largo plazo. empresas asociadas","Expense","C","No","No",,"6611","S",
"66150","Intereses de obligaciones y bonos a corto plazo. empresas del grupo","Intereses de obligaciones y bonos a corto plazo. empresas del grupo","Expense","C","No","No",,"6615","S",
"66160","Intereses de obligaciones y bonos a corto plazo. empresas asociadas","Intereses de obligaciones y bonos a corto plazo. empresas asociadas","Expense","C","No","No",,"6616","S",
"66200","Intereses de deudas. empresas del grupo","Intereses de deudas. empresas del grupo","Expense","C","No","No",,"6620","S",
"66210","Intereses de deudas. empresas asociadas","Intereses de deudas. empresas asociadas","Expense","C","No","No",,"6621","S",
